n_sequences,	cluster_id,	query_id,	%_identity,	alignment_length,	mismatches,	gap_opens,	evalue,	bit_score,	subject_titles
#	BLASTN	2.12.0+
#	Query:	consensus_medaka-101-156.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-101-156.fasta	96.685	181	4	2	2.55e-80	300	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-2111-108.fasta	98.684	152	2	0	2.03e-71	270	JQ609338.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	JQ609338.1
consensus_medaka-2111-108.fasta	98.684	152	2	0	2.03e-71	270	GQ260089.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__multiceps	GQ260089.1
consensus_medaka-2111-108.fasta	98.684	152	2	0	2.03e-71	270	GQ260088.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__asiatica	GQ260088.1
consensus_medaka-2111-108.fasta	98.026	152	3	0	9.43e-70	265	GQ260091.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__solium	GQ260091.1
consensus_medaka-2111-108.fasta	92.265	181	14	0	1.58e-67	257	EU660530.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660530.1
consensus_medaka-2111-108.fasta	92.265	181	14	0	1.58e-67	257	EU660529.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660529.1
consensus_medaka-2111-108.fasta	99.296	142	1	0	1.58e-67	257	DQ768166.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	DQ768166.1
consensus_medaka-2111-108.fasta	92.857	168	10	2	4.42e-63	243	AF267295.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Proteocephalidea;	f__Proteocephalidae;	g__Thaumasioscolex;	s__didelphidis	AF267295.1
consensus_medaka-2111-108.fasta	94.737	152	8	0	2.05e-61	237	JQ609339.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__pisiformis	JQ609339.1
consensus_medaka-2111-108.fasta	99.237	131	1	0	2.05e-61	237	AB731617.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__asiatica	AB731617.1
consensus_medaka-2111-108.fasta	91.716	169	12	2	2.66e-60	233	AF267296.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Proteocephalidea;	f__Monticelliidae;	g__Monticellia;	s__sp.	KBD1	AF267296.1
consensus_medaka-2111-108.fasta	89.560	182	19	0	9.56e-60	231	HQ269832.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Rhinebothriidea;	f__Rhinebothriidea;	g__Rhinebothriidea;	s__sp.	type	1	(southern)	HQ269832.1
consensus_medaka-2111-108.fasta	89.560	182	19	0	9.56e-60	231	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
consensus_medaka-2111-108.fasta	92.547	161	12	0	9.56e-60	231	AF286994.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Phoreiobothrium;	s__sp.	OLBM1	AF286994.1
consensus_medaka-2111-108.fasta	98.473	131	2	0	9.56e-60	231	AB731621.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__multiceps	AB731621.1
consensus_medaka-2111-108.fasta	89.617	183	16	3	3.44e-59	230	AJ578152.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Anoplocephalidae;	g__Anoplocephala;	s__perfoliata	AJ578152.1
consensus_medaka-2111-108.fasta	89.617	183	16	3	3.44e-59	230	AJ578151.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Anoplocephalidae;	g__Anoplocephala;	s__perfoliata	AJ578151.1
consensus_medaka-2111-108.fasta	89.674	184	14	5	3.44e-59	230	AF461125.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Hymenolepididae;	g__Hymenolepis;	s__diminuta	AF461125.1
consensus_medaka-2111-108.fasta	89.011	182	20	0	4.45e-58	226	HQ269833.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Rhinebothriidea;	f__Rhinebothriidea;	g__Rhinebothriidea;	s__sp.	type	2	(northern)	HQ269833.1
consensus_medaka-2111-108.fasta	91.071	168	13	2	4.45e-58	226	AF267293.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Proteocephalidea;	f__Proteocephalidae;	g__Gangesia;	s__parasiluri	AF267293.1
#	BLASTN	2.12.0+
#	Query:	consensus_medaka-216-38.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-216-38.fasta	99.444	180	1	0	1.19e-88	327	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
consensus_medaka-216-38.fasta	98.889	180	2	0	5.55e-87	322	AB374225.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB374225.1
consensus_medaka-216-38.fasta	98.889	180	2	0	5.55e-87	322	AB302388.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB302388.1
consensus_medaka-216-38.fasta	98.889	180	2	0	5.55e-87	322	AB302387.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	AB302387.1
consensus_medaka-216-38.fasta	98.870	177	2	0	2.58e-85	316	HQ228991.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__sp.	JL-2010	HQ228991.1
consensus_medaka-216-38.fasta	100.000	171	0	0	2.58e-85	316	AB353272.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diplogonoporus;	s__grandis	AB353272.1
consensus_medaka-216-38.fasta	98.305	177	3	0	1.20e-83	311	DQ925312.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Ligula;	s__colymbi	DQ925312.1
consensus_medaka-216-38.fasta	98.305	177	3	0	1.20e-83	311	DQ925309.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ925309.1
consensus_medaka-216-38.fasta	98.305	177	3	0	1.20e-83	311	DQ925308.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Digramma;	s__interrupta	DQ925308.1
consensus_medaka-216-38.fasta	97.175	177	5	0	2.60e-80	300	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
consensus_medaka-216-38.fasta	99.379	161	1	0	4.35e-78	292	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
consensus_medaka-216-38.fasta	100.000	157	0	0	1.57e-77	291	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
consensus_medaka-216-38.fasta	99.346	153	1	0	1.22e-73	278	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
consensus_medaka-216-38.fasta	100.000	142	0	0	3.41e-69	263	DQ768163.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	DQ768163.1
consensus_medaka-216-38.fasta	92.222	180	14	0	4.41e-68	259	AJ287576.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Trypanorhyncha;	f__Sphyriocephalidae;	g__Sphyriocephalus;	s__sp.	DTJL-2000	AJ287576.1
consensus_medaka-216-38.fasta	99.296	142	1	0	1.59e-67	257	DQ768160.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	DQ768160.1
consensus_medaka-216-38.fasta	99.296	142	1	0	1.59e-67	257	DQ181945.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__dendriticus	DQ181945.2
consensus_medaka-216-38.fasta	99.296	142	1	0	1.59e-67	257	DQ181944.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__ditremum	DQ181944.2
consensus_medaka-216-38.fasta	99.296	142	1	0	1.59e-67	257	DQ181943.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__sp.	HY-2005	DQ181943.2
consensus_medaka-216-38.fasta	99.296	142	1	0	1.59e-67	257	DQ181941.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ181941.1
#	BLASTN	2.12.0+
#	Query:	consensus_medaka-224-20.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AY173013.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/MSS2	AY173013.1
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AY173012.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/MSG29	AY173012.1
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AY173010.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/MSG26	AY173010.1
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AY173007.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/MSG15	AY173007.1
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AY173005.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/MSG10	AY173005.1
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AY173004.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/MSG4	AY173004.1
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AY173002.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/MSG1	AY173002.1
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AY173000.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/MSS8-1	AY173000.1
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AF349045.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/E4	AF349045.1
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AF316547.2	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__triangularis	AF316547.2
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AF005998.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/E2	AF005998.1
consensus_medaka-224-20.fasta	98.942	189	1	1	2.05e-91	337	AF005995.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__lugdunensis	AF005995.1
consensus_medaka-224-20.fasta	98.936	188	1	1	7.36e-91	335	GU320592.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	COHH	55	GU320592.1
consensus_medaka-224-20.fasta	98.936	188	1	1	7.36e-91	335	GU320589.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	COHH	43	GU320589.1
consensus_medaka-224-20.fasta	98.936	188	1	1	7.36e-91	335	EF140638.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/E22	EF140638.1
consensus_medaka-224-20.fasta	98.936	188	1	1	7.36e-91	335	EF140633.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/E21	EF140633.1
consensus_medaka-224-20.fasta	98.936	188	1	1	7.36e-91	335	EF140629.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/E28	EF140629.1
consensus_medaka-224-20.fasta	98.936	188	1	1	7.36e-91	335	EF140628.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/E27	EF140628.1
consensus_medaka-224-20.fasta	98.936	188	1	1	7.36e-91	335	EF140627.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/E26	EF140627.1
consensus_medaka-224-20.fasta	98.936	188	1	1	7.36e-91	335	EF140626.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	KA/E25	EF140626.1
#	BLASTN	2.12.0+
#	Query:	consensus_medaka-2321-41.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-2321-41.fasta	99.422	173	1	0	8.70e-85	315	GU245692.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Ascarididae;	g__Krefftascaris;	s__sharpiloi	GU245692.1
consensus_medaka-2321-41.fasta	99.422	173	1	0	8.70e-85	315	EF180059.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Toxocaridae;	g__Toxocara;	s__cati	EF180059.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	JX237370.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	JX237370.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	HF911524.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__typica	HF911524.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	HE997159.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997159.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	HE997158.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997158.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	GQ472928.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472928.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	GQ472926.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472926.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	GQ472924.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472924.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	GPS_020161272.1	k__Metazoa;	p__Chordata;	c__Actinopteri;	o__Cyprinodontiformes;	f__Fundulidae;	g__Fundulus;	s__heteroclitus	GPS_020161272.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	AF411202.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AF411202.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	AB908161.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908161.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	AB908160.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908160.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	AB277824.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Pseudoterranova;	s__decipiens	AB277824.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	AB277823.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	AB277823.1
consensus_medaka-2321-41.fasta	98.844	173	2	0	4.05e-83	309	AB277822.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AB277822.1
consensus_medaka-2321-41.fasta	98.266	173	3	0	1.88e-81	303	HM067977.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Spirocercidae;	g__Streptopharagus;	s__sp.	JSL-2010	HM067977.1
consensus_medaka-2321-41.fasta	98.266	173	3	0	1.88e-81	303	AF411204.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Contracaecum;	s__rudolphii	AF411204.1
consensus_medaka-2321-41.fasta	98.266	173	3	0	1.88e-81	303	AF411203.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Contracaecum;	s__osculatum	AF411203.1
consensus_medaka-2321-41.fasta	98.266	173	3	0	1.88e-81	303	AF115571.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__auctum	AF115571.1
#	BLASTN	2.12.0+
#	Query:	consensus_medaka-239-115.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	3	hits	found
consensus_medaka-239-115.fasta	84.795	171	16	8	3.45e-39	163	DQ992191.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	EFW13	DQ992191.1
consensus_medaka-239-115.fasta	95.349	43	2	0	7.73e-11	69.4	JQ910878.1	k__Fungi;	p__Fungi;	c__Fungi;	o__Fungi;	f__Fungi;	g__uncultured;	s__fungus	JQ910878.1
consensus_medaka-239-115.fasta	100.000	33	0	0	1.29e-08	62.1	JF699578.1	k__Metazoa;	p__Arthropoda;	c__Malacostraca;	o__Isopoda;	f__Sphaeromatidae;	g__Paracassidinopsis;	s__perlata	JF699578.1
#	BLASTN	2.12.0+
#	Query:	consensus_medaka-240-76.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	14	hits	found
consensus_medaka-240-76.fasta	86.628	172	15	7	5.79e-45	183	DQ992191.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	EFW13	DQ992191.1
consensus_medaka-240-76.fasta	86.550	171	15	7	2.08e-44	182	DQ992191.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	EFW13	DQ992191.1
consensus_medaka-240-76.fasta	95.455	44	2	0	4.70e-11	71.3	JQ910878.1	k__Fungi;	p__Fungi;	c__Fungi;	o__Fungi;	f__Fungi;	g__uncultured;	s__fungus	JQ910878.1
consensus_medaka-240-76.fasta	95.349	43	2	0	1.69e-10	69.4	JQ910878.1	k__Fungi;	p__Fungi;	c__Fungi;	o__Fungi;	f__Fungi;	g__uncultured;	s__fungus	JQ910878.1
consensus_medaka-240-76.fasta	93.333	45	3	0	6.08e-10	67.6	BMAW01120318.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Nephila;	s__pilipes	BMAW01120318.1
consensus_medaka-240-76.fasta	93.333	45	3	0	6.08e-10	67.6	BMAW01120318.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Nephila;	s__pilipes	BMAW01120318.1
consensus_medaka-240-76.fasta	93.333	45	3	0	6.08e-10	67.6	BMAO01037308.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01037308.1
consensus_medaka-240-76.fasta	93.333	45	3	0	6.08e-10	67.6	BMAO01037308.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01037308.1
consensus_medaka-240-76.fasta	90.196	51	5	0	6.08e-10	67.6	BMAO01036578.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01036578.1
consensus_medaka-240-76.fasta	90.196	51	5	0	6.08e-10	67.6	BMAO01036578.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01036578.1
consensus_medaka-240-76.fasta	100.000	33	0	0	2.83e-08	62.1	JF699578.1	k__Metazoa;	p__Arthropoda;	c__Malacostraca;	o__Isopoda;	f__Sphaeromatidae;	g__Paracassidinopsis;	s__perlata	JF699578.1
consensus_medaka-240-76.fasta	100.000	33	0	0	2.83e-08	62.1	JF699578.1	k__Metazoa;	p__Arthropoda;	c__Malacostraca;	o__Isopoda;	f__Sphaeromatidae;	g__Paracassidinopsis;	s__perlata	JF699578.1
consensus_medaka-240-76.fasta	96.875	32	1	0	4.74e-06	54.7	FP178483.1	k__Eukaryota;	p__Haptophyta;	c__Haptophyta;	o__Isochrysidales;	f__Noelaerhabdaceae;	g__Emiliania;	s__huxleyi	FP178483.1
consensus_medaka-240-76.fasta	96.875	32	1	0	4.74e-06	54.7	FP178483.1	k__Eukaryota;	p__Haptophyta;	c__Haptophyta;	o__Isochrysidales;	f__Noelaerhabdaceae;	g__Emiliania;	s__huxleyi	FP178483.1
#	BLASTN	2.12.0+
#	Query:	consensus_medaka-242-9.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-242-9.fasta	96.933	163	3	2	5.06e-72	272	JX237370.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	JX237370.1
consensus_medaka-242-9.fasta	96.933	163	3	2	5.06e-72	272	HF911524.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__typica	HF911524.1
consensus_medaka-242-9.fasta	96.933	163	3	2	5.06e-72	272	HE997159.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997159.1
consensus_medaka-242-9.fasta	96.933	163	3	2	5.06e-72	272	HE997158.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997158.1
consensus_medaka-242-9.fasta	96.933	163	3	2	5.06e-72	272	GQ472928.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472928.1
consensus_medaka-242-9.fasta	96.933	163	3	2	5.06e-72	272	GQ472926.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472926.1
consensus_medaka-242-9.fasta	96.933	163	3	2	5.06e-72	272	GQ472924.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472924.1
