n_sequences,	cluster_id,	query_id,	%_identity,	alignment_length,	mismatches,	gap_opens,	evalue,	bit_score,	subject_titles
#	BLASTN	2.12.0+
#	Query:	polished-100-422.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	40	hits	found
polished-100-422.fasta	99.270	548	1	2	0.0	987	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-120-281.fasta	95.846	337	7	5	1.15e-151	538	DQ181943.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__sp.	HY-2005	DQ181943.2
polished-120-281.fasta	95.549	337	8	5	5.35e-150	532	DQ181941.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ181941.1
polished-120-281.fasta	91.935	372	19	9	2.51e-143	510	AJ287496.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Trypanorhyncha;	f__Lacistorhynchidae;	g__Pseudogilquinia;	s__pillersi	AJ287496.1
polished-120-281.fasta	92.350	366	16	8	2.51e-143	510	AF267290.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Duthiersia;	s__fimbriata	AF267290.1
#	BLASTN	2.12.0+
#	Query:	polished-120-41.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
polished-120-41.fasta	98.128	374	3	3	0.0	649	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-120-41.fasta	97.861	374	4	3	0.0	643	HQ228991.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__sp.	JL-2010	HQ228991.1
polished-120-41.fasta	96.570	379	4	7	3.98e-176	619	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
polished-120-41.fasta	96.296	378	6	6	1.85e-174	614	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
polished-120-41.fasta	96.296	378	6	6	1.85e-174	614	DQ925309.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ925309.1
polished-120-41.fasta	96.296	378	6	6	1.85e-174	614	DQ925308.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Digramma;	s__interrupta	DQ925308.1
polished-120-41.fasta	96.286	377	6	6	6.66e-174	612	DQ316795.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316795.1
polished-120-41.fasta	96.286	377	6	6	6.66e-174	612	DQ316794.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316794.1
polished-120-41.fasta	96.286	377	6	6	6.66e-174	612	DQ316793.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316793.1
polished-120-41.fasta	96.032	378	7	6	8.62e-173	608	DQ925312.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Ligula;	s__colymbi	DQ925312.1
polished-120-41.fasta	96.021	377	7	6	3.10e-172	606	DQ316796.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316796.1
polished-120-41.fasta	95.778	379	8	6	3.10e-172	606	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
polished-120-41.fasta	96.429	364	5	6	2.41e-168	593	AB374225.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB374225.1
polished-120-41.fasta	96.164	365	6	6	3.12e-167	590	AB353272.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diplogonoporus;	s__grandis	AB353272.1
polished-120-41.fasta	96.379	359	5	6	1.45e-165	584	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
polished-120-41.fasta	92.895	380	17	6	2.46e-153	544	DQ925307.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Pseudophyllidea;	f__Cephalochlamydidae;	g__Cephalochlamys;	s__namaquensis	DQ925307.1
polished-120-41.fasta	96.142	337	5	6	2.46e-153	544	DQ181943.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__sp.	HY-2005	DQ181943.2
polished-120-41.fasta	95.846	337	6	6	1.15e-151	538	DQ181941.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ181941.1
polished-120-41.fasta	92.204	372	17	10	5.37e-145	516	AJ287496.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Trypanorhyncha;	f__Lacistorhynchidae;	g__Pseudogilquinia;	s__pillersi	AJ287496.1
polished-120-41.fasta	91.957	373	22	8	5.37e-145	516	AF124456.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Spathebothriidea;	f__Spathebothriidae;	g__Spathebothrium;	s__simplex	AF124456.1
#	BLASTN	2.12.0+
#	Query:	polished-120-667.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	22	hits	found
polished-120-667.fasta	99.306	432	2	1	0.0	780	JQ609338.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	JQ609338.1
polished-120-667.fasta	98.611	432	5	1	0.0	763	GQ260088.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__asiatica	GQ260088.1
polished-120-667.fasta	95.602	432	18	1	0.0	691	GQ260089.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__multiceps	GQ260089.1
polished-120-667.fasta	93.018	444	11	6	2.21e-179	630	GQ260091.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__solium	GQ260091.1
polished-120-667.fasta	98.507	335	4	1	3.74e-167	590	AB731616.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	AB731616.1
polished-120-667.fasta	97.910	335	6	1	8.10e-164	579	AB731617.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__asiatica	AB731617.1
polished-120-667.fasta	89.310	449	24	19	1.06e-152	542	GQ260090.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__hydatigena	GQ260090.1
polished-120-667.fasta	94.395	339	14	2	6.44e-145	516	AB731623.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__madoquae	AB731623.1
polished-120-667.fasta	94.328	335	18	1	8.33e-144	512	AB731621.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__multiceps	AB731621.1
polished-120-667.fasta	88.079	453	23	24	1.08e-142	508	JQ609339.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__pisiformis	JQ609339.1
polished-120-667.fasta	93.333	345	12	6	6.49e-140	499	AB731622.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__ovis	AB731622.1
polished-120-667.fasta	92.690	342	17	4	5.05e-136	486	AB731620.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__serialis	AB731620.1
polished-120-667.fasta	85.553	443	23	24	1.12e-117	425	JQ609340.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Hydatigera;	s__taeniaeformis	JQ609340.1
polished-120-667.fasta	85.219	433	29	20	8.70e-114	412	JQ609343.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Anoplocephalidae;	g__Avitellina;	s__centripunctata	JQ609343.1
polished-120-667.fasta	84.186	430	42	19	3.15e-108	394	AF124473.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetrabothriidea;	f__Tetrabothriidae;	g__Tetrabothrius;	s__forsteri	AF124473.1
polished-120-667.fasta	85.258	407	27	17	1.47e-106	388	EU704119.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__granulosus	EU704119.1
polished-120-667.fasta	83.797	395	25	19	1.50e-91	339	EU704117.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__multilocularis	EU704117.1
polished-120-667.fasta	83.756	394	25	19	5.38e-91	337	EU704116.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Echinococcus;	s__multilocularis	EU704116.1
polished-120-667.fasta	89.513	267	16	8	3.24e-88	327	AF286980.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Davaineidae;	g__Raillietina;	s__australis	AF286980.1
polished-120-667.fasta	98.990	99	1	0	3.45e-43	178	AF286980.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Davaineidae;	g__Raillietina;	s__australis	AF286980.1
polished-120-667.fasta	97.326	187	5	0	1.95e-85	318	AF124474.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Nippotaeniidea;	f__Nippotaeniidae;	g__Amurotaenia;	s__decidua	AF124474.1
polished-120-667.fasta	98.095	105	1	1	2.67e-44	182	AF124474.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Nippotaeniidea;	f__Nippotaeniidae;	g__Amurotaenia;	s__decidua	AF124474.1
#	BLASTN	2.12.0+
#	Query:	polished-121-704.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	40	hits	found
polished-121-704.fasta	99.281	417	1	1	0.0	752	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-121-704.fasta	98.020	404	1	4	0.0	695	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-121-704.fasta	99.041	417	2	1	0.0	747	HQ228991.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__sp.	JL-2010	HQ228991.1
polished-121-704.fasta	97.772	404	2	4	0.0	689	HQ228991.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__sp.	JL-2010	HQ228991.1
polished-121-704.fasta	97.867	422	2	3	0.0	723	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
polished-121-704.fasta	96.577	409	2	6	0.0	667	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
polished-121-704.fasta	97.625	421	4	4	0.0	717	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
polished-121-704.fasta	96.569	408	3	4	0.0	665	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
polished-121-704.fasta	97.625	421	4	4	0.0	717	DQ925309.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ925309.1
polished-121-704.fasta	96.569	408	3	7	0.0	665	DQ925309.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ925309.1
polished-121-704.fasta	97.625	421	4	4	0.0	717	DQ925308.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Digramma;	s__interrupta	DQ925308.1
polished-121-704.fasta	96.569	408	3	7	0.0	665	DQ925308.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Digramma;	s__interrupta	DQ925308.1
polished-121-704.fasta	97.619	420	4	4	0.0	715	DQ316795.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316795.1
polished-121-704.fasta	96.560	407	3	7	0.0	664	DQ316795.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316795.1
polished-121-704.fasta	97.619	420	4	4	0.0	715	DQ316794.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316794.1
polished-121-704.fasta	96.560	407	3	7	0.0	664	DQ316794.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316794.1
polished-121-704.fasta	97.619	420	4	4	0.0	715	DQ316793.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316793.1
polished-121-704.fasta	96.560	407	3	7	0.0	664	DQ316793.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316793.1
polished-121-704.fasta	97.387	421	5	4	0.0	712	DQ925312.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Ligula;	s__colymbi	DQ925312.1
polished-121-704.fasta	96.324	408	4	7	0.0	660	DQ925312.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Ligula;	s__colymbi	DQ925312.1
polished-121-704.fasta	97.381	420	5	4	0.0	710	DQ316796.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316796.1
polished-121-704.fasta	96.314	407	4	7	0.0	658	DQ316796.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ316796.1
polished-121-704.fasta	97.156	422	6	4	0.0	710	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
polished-121-704.fasta	96.088	409	5	7	0.0	658	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
polished-121-704.fasta	97.789	407	3	4	0.0	697	AB374225.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB374225.1
polished-121-704.fasta	96.701	394	2	7	0.0	645	AB374225.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB374225.1
polished-121-704.fasta	97.549	408	4	4	0.0	693	AB353272.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diplogonoporus;	s__grandis	AB353272.1
polished-121-704.fasta	96.456	395	3	7	0.0	641	AB353272.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diplogonoporus;	s__grandis	AB353272.1
polished-121-704.fasta	97.761	402	3	4	0.0	688	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
polished-121-704.fasta	96.658	389	2	7	0.0	636	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
polished-121-704.fasta	97.632	380	3	4	0.0	647	DQ181943.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__sp.	HY-2005	DQ181943.2
polished-121-704.fasta	96.458	367	2	7	1.47e-168	595	DQ181943.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__sp.	HY-2005	DQ181943.2
polished-121-704.fasta	94.326	423	16	4	0.0	641	DQ925307.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Pseudophyllidea;	f__Cephalochlamydidae;	g__Cephalochlamys;	s__namaquensis	DQ925307.1
polished-121-704.fasta	93.171	410	15	5	6.85e-167	590	DQ925307.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Pseudophyllidea;	f__Cephalochlamydidae;	g__Cephalochlamys;	s__namaquensis	DQ925307.1
polished-121-704.fasta	97.368	380	4	4	0.0	641	DQ181941.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ181941.1
polished-121-704.fasta	96.185	367	3	7	6.85e-167	590	DQ181941.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ181941.1
polished-121-704.fasta	93.976	415	15	8	8.73e-176	619	AJ287496.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Trypanorhyncha;	f__Lacistorhynchidae;	g__Pseudogilquinia;	s__pillersi	AJ287496.1
polished-121-704.fasta	93.300	403	16	7	3.19e-165	584	AJ287496.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Trypanorhyncha;	f__Lacistorhynchidae;	g__Pseudogilquinia;	s__pillersi	AJ287496.1
polished-121-704.fasta	94.377	409	12	7	3.14e-175	617	AF267290.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Duthiersia;	s__fimbriata	AF267290.1
polished-121-704.fasta	93.182	396	11	10	3.21e-160	568	AF267290.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Duthiersia;	s__fimbriata	AF267290.1
#	BLASTN	2.12.0+
#	Query:	polished-122-175.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
polished-122-175.fasta	99.861	721	1	0	0.0	1327	AB282658.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__histolytica	AB282658.1
polished-122-175.fasta	100.000	710	0	0	0.0	1312	GQ423748.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__histolytica	GQ423748.1
polished-122-175.fasta	99.445	721	4	0	0.0	1310	AB749447.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__nuttalli	AB749447.1
polished-122-175.fasta	99.445	721	4	0	0.0	1310	AB749446.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__nuttalli	AB749446.1
polished-122-175.fasta	99.445	721	4	0	0.0	1310	AB720830.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__nuttalli	AB720830.1
polished-122-175.fasta	99.445	721	4	0	0.0	1310	AB485592.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__nuttalli	AB485592.1
polished-122-175.fasta	99.445	721	4	0	0.0	1310	AB426549.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__histolytica	AB426549.1
polished-122-175.fasta	99.445	721	4	0	0.0	1310	AB282657.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__nuttalli	AB282657.1
polished-122-175.fasta	99.859	710	0	1	0.0	1304	GQ423749.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__histolytica	GQ423749.1
polished-122-175.fasta	98.753	722	8	1	0.0	1282	AB282661.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__dispar	AB282661.1
polished-122-175.fasta	99.570	697	3	0	0.0	1271	FR686356.2	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__nuttalli	FR686356.2
polished-122-175.fasta	87.431	724	79	10	0.0	822	FR686358.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__sp.	RL3	FR686358.1
polished-122-175.fasta	87.363	728	72	20	0.0	817	FN666253.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__sp.	CS-2010	FN666253.1
polished-122-175.fasta	87.291	716	76	14	0.0	804	FR686359.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__sp.	RL3	FR686359.1
polished-122-175.fasta	86.557	729	77	21	0.0	784	FN666252.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__bovis	FN666252.1
polished-122-175.fasta	86.520	727	80	18	0.0	784	FN666250.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__bovis	FN666250.1
polished-122-175.fasta	86.389	720	71	22	0.0	761	FR686451.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__sp.	RL4	FR686451.1
polished-122-175.fasta	86.809	705	66	22	0.0	761	FR686361.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__sp.	RL4	FR686361.1
polished-122-175.fasta	85.813	726	87	16	0.0	756	FN666249.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__bovis	FN666249.1
polished-122-175.fasta	85.832	727	85	18	0.0	756	FN666248.1	k__Eukaryota;	p__Evosea;	c__Evosea;	o__Mastigamoebida;	f__Entamoebidae;	g__Entamoeba;	s__bovis	FN666248.1
#	BLASTN	2.12.0+
#	Query:	polished-1228-1193.fasta
#	Database:	/mnt/e/Nanopore/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
polished-1228-1193.fasta	98.396	374	3	2	0.0	654	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-1228-1193.fasta	98.128	374	4	2	0.0	649	HQ228991.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__sp.	JL-2010	HQ228991.1
polished-1228-1193.fasta	96.834	379	4	6	2.39e-178	627	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
polished-1228-1193.fasta	96.561	378	6	5	3.99e-176	619	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
