n_sequences,	cluster_id,	query_id,	%_identity,	alignment_length,	mismatches,	gap_opens,	evalue,	bit_score,	subject_titles
#	BLASTN	2.9.0+
#	Query:	polished-10-106.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
polished-10-106.fasta	98.901	182	2	0	4.26e-88	326	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-14-58139.fasta	98.256	172	1	2	2.40e-80	300	AB908160.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908160.1
polished-14-58139.fasta	98.256	172	1	2	2.40e-80	300	AB277824.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Pseudoterranova;	s__decipiens	AB277824.1
polished-14-58139.fasta	98.256	172	1	2	2.40e-80	300	AB277823.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	AB277823.1
polished-14-58139.fasta	98.256	172	1	2	2.40e-80	300	AB277822.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AB277822.1
polished-14-58139.fasta	97.674	172	2	2	1.12e-78	294	HM067977.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Spirocercidae;	g__Streptopharagus;	s__sp.	JSL-2010	HM067977.1
polished-14-58139.fasta	97.674	172	2	2	1.12e-78	294	GU245692.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Ascarididae;	g__Krefftascaris;	s__sharpiloi	GU245692.1
polished-14-58139.fasta	97.674	172	2	2	1.12e-78	294	AF115571.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__auctum	AF115571.1
polished-14-58139.fasta	97.674	172	2	2	1.12e-78	294	AB277826.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__aduncum	AB277826.1
polished-14-58139.fasta	97.093	172	3	2	5.20e-77	289	GPS_020161272.1	k__Metazoa;	p__Chordata;	c__Actinopteri;	o__Cyprinodontiformes;	f__Fundulidae;	g__Fundulus;	s__heteroclitus	GPS_020161272.1
polished-14-58139.fasta	97.093	172	3	2	5.20e-77	289	EU740575.1	k__Eukaryota;	p__Eukaryota;	c__Eukaryota;	o__Eukaryota;	f__Eukaryota;	g__uncultured;	s__eukaryote	EU740575.1
#	BLASTN	2.9.0+
#	Query:	polished-14-7806.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
polished-14-7806.fasta	99.444	180	1	0	1.18e-88	327	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
polished-14-7806.fasta	98.889	180	2	0	5.48e-87	322	AB374225.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB374225.1
polished-14-7806.fasta	98.889	180	2	0	5.48e-87	322	AB302388.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB302388.1
polished-14-7806.fasta	98.889	180	2	0	5.48e-87	322	AB302387.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	AB302387.1
polished-14-7806.fasta	98.857	175	2	0	3.30e-84	313	HQ228991.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__sp.	JL-2010	HQ228991.1
polished-14-7806.fasta	100.000	169	0	0	3.30e-84	313	AB353272.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diplogonoporus;	s__grandis	AB353272.1
polished-14-7806.fasta	98.286	175	3	0	1.53e-82	307	DQ925312.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Ligula;	s__colymbi	DQ925312.1
polished-14-7806.fasta	98.286	175	3	0	1.53e-82	307	DQ925309.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ925309.1
polished-14-7806.fasta	98.286	175	3	0	1.53e-82	307	DQ925308.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Digramma;	s__interrupta	DQ925308.1
polished-14-7806.fasta	97.143	175	5	0	3.32e-79	296	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
polished-14-7806.fasta	99.371	159	1	0	5.56e-77	289	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
polished-14-7806.fasta	100.000	155	0	0	2.00e-76	287	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
polished-14-7806.fasta	99.338	151	1	0	1.56e-72	274	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
polished-14-7806.fasta	100.000	140	0	0	4.36e-68	259	DQ768163.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	DQ768163.1
polished-14-7806.fasta	92.222	180	14	0	4.36e-68	259	AJ287576.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Trypanorhyncha;	f__Sphyriocephalidae;	g__Sphyriocephalus;	s__sp.	DTJL-2000	AJ287576.1
polished-14-7806.fasta	92.222	180	12	2	2.03e-66	254	EU660530.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660530.1
polished-14-7806.fasta	92.222	180	12	2	2.03e-66	254	EU660529.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660529.1
polished-14-7806.fasta	99.286	140	1	0	2.03e-66	254	DQ768160.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	DQ768160.1
polished-14-7806.fasta	99.286	140	1	0	2.03e-66	254	DQ181945.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__dendriticus	DQ181945.2
polished-14-7806.fasta	99.286	140	1	0	2.03e-66	254	DQ181944.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__ditremum	DQ181944.2
#	BLASTN	2.9.0+
#	Query:	polished-14-956.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	JX237370.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	JX237370.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	HF911524.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__typica	HF911524.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	HE997159.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997159.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	HE997158.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997158.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	GQ472928.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472928.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	GQ472926.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472926.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	GQ472924.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472924.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	AF411202.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AF411202.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	AB908161.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908161.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	AB908160.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908160.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	AB277824.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Pseudoterranova;	s__decipiens	AB277824.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	AB277823.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	AB277823.1
polished-14-956.fasta	97.674	172	1	3	3.99e-78	292	AB277822.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AB277822.1
polished-14-956.fasta	97.110	173	2	3	5.16e-77	289	EF180059.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Toxocaridae;	g__Toxocara;	s__cati	EF180059.1
polished-14-956.fasta	97.093	172	2	3	1.86e-76	287	HM067977.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Spirocercidae;	g__Streptopharagus;	s__sp.	JSL-2010	HM067977.1
polished-14-956.fasta	97.093	172	2	3	1.86e-76	287	GU245692.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Ascarididae;	g__Krefftascaris;	s__sharpiloi	GU245692.1
polished-14-956.fasta	97.093	172	2	3	1.86e-76	287	AF115571.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__auctum	AF115571.1
polished-14-956.fasta	97.093	172	2	3	1.86e-76	287	AB277826.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__aduncum	AB277826.1
polished-14-956.fasta	96.512	172	3	3	8.64e-75	281	GPS_020161272.1	k__Metazoa;	p__Chordata;	c__Actinopteri;	o__Cyprinodontiformes;	f__Fundulidae;	g__Fundulus;	s__heteroclitus	GPS_020161272.1
polished-14-956.fasta	96.512	172	3	3	8.64e-75	281	EU740575.1	k__Eukaryota;	p__Eukaryota;	c__Eukaryota;	o__Eukaryota;	f__Eukaryota;	g__uncultured;	s__eukaryote	EU740575.1
#	BLASTN	2.9.0+
#	Query:	polished-14-98.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	11	hits	found
polished-14-98.fasta	86.550	171	15	7	9.77e-45	182	DQ992191.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	EFW13	DQ992191.1
polished-14-98.fasta	95.652	46	2	0	1.70e-12	75.0	AF381182.1	k__Eukaryota;	p__Foraminifera;	c__Foraminifera;	o__Foraminifera;	f__Foraminifera;	g__uncultured;	s__Foraminifera-like	protist	AF381182.1
polished-14-98.fasta	95.652	46	2	0	1.70e-12	75.0	AF381180.1	k__Eukaryota;	p__Foraminifera;	c__Foraminifera;	o__Foraminifera;	f__Foraminifera;	g__uncultured;	s__Foraminifera-like	protist	AF381180.1
polished-14-98.fasta	95.652	46	2	0	1.70e-12	75.0	AF381179.1	k__Eukaryota;	p__Foraminifera;	c__Foraminifera;	o__Foraminifera;	f__Foraminifera;	g__uncultured;	s__Foraminifera-like	protist	AF381179.1
polished-14-98.fasta	93.478	46	3	0	2.21e-11	71.3	AF381183.1	k__Eukaryota;	p__Foraminifera;	c__Foraminifera;	o__Foraminifera;	f__Foraminifera;	g__uncultured;	s__Foraminifera-like	protist	AF381183.1
polished-14-98.fasta	95.349	43	2	0	7.93e-11	69.4	JQ910878.1	k__Fungi;	p__Fungi;	c__Fungi;	o__Fungi;	f__Fungi;	g__uncultured;	s__fungus	JQ910878.1
polished-14-98.fasta	93.333	45	3	0	2.85e-10	67.6	BMAW01120318.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Nephila;	s__pilipes	BMAW01120318.1
polished-14-98.fasta	93.333	45	3	0	2.85e-10	67.6	BMAO01037308.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01037308.1
polished-14-98.fasta	90.196	51	5	0	2.85e-10	67.6	BMAO01036578.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01036578.1
polished-14-98.fasta	100.000	33	0	0	1.33e-08	62.1	JF699578.1	k__Metazoa;	p__Arthropoda;	c__Malacostraca;	o__Isopoda;	f__Sphaeromatidae;	g__Paracassidinopsis;	s__perlata	JF699578.1
polished-14-98.fasta	96.875	32	1	0	2.22e-06	54.7	FP178483.1	k__Eukaryota;	p__Haptophyta;	c__Haptophyta;	o__Isochrysidales;	f__Noelaerhabdaceae;	g__Emiliania;	s__huxleyi	FP178483.1
#	BLASTN	2.9.0+
#	Query:	polished-15-13114.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	6	hits	found
polished-15-13114.fasta	86.628	172	15	7	2.75e-45	183	DQ992191.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	EFW13	DQ992191.1
polished-15-13114.fasta	92.857	42	3	0	1.34e-08	62.1	BMAW01120318.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Nephila;	s__pilipes	BMAW01120318.1
polished-15-13114.fasta	92.857	42	3	0	1.34e-08	62.1	BMAO01037308.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01037308.1
polished-15-13114.fasta	88.235	51	6	0	1.34e-08	62.1	BMAO01036578.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01036578.1
polished-15-13114.fasta	100.000	32	0	0	4.84e-08	60.2	JF699578.1	k__Metazoa;	p__Arthropoda;	c__Malacostraca;	o__Isopoda;	f__Sphaeromatidae;	g__Paracassidinopsis;	s__perlata	JF699578.1
polished-15-13114.fasta	96.875	32	1	0	2.25e-06	54.7	FP178483.1	k__Eukaryota;	p__Haptophyta;	c__Haptophyta;	o__Isochrysidales;	f__Noelaerhabdaceae;	g__Emiliania;	s__huxleyi	FP178483.1
#	BLASTN	2.9.0+
#	Query:	polished-15-21681.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	7	hits	found
polished-15-21681.fasta	85.965	171	16	7	4.49e-43	176	DQ992191.1	k__Eukaryota;	p__Discosea;	c__Discosea;	o__Longamoebia;	f__Acanthamoebidae;	g__Acanthamoeba;	s__sp.	EFW13	DQ992191.1
polished-15-21681.fasta	95.349	43	2	0	7.83e-11	69.4	JQ910878.1	k__Fungi;	p__Fungi;	c__Fungi;	o__Fungi;	f__Fungi;	g__uncultured;	s__fungus	JQ910878.1
polished-15-21681.fasta	93.333	45	3	0	2.82e-10	67.6	BMAW01120318.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Nephila;	s__pilipes	BMAW01120318.1
polished-15-21681.fasta	93.333	45	3	0	2.82e-10	67.6	BMAO01037308.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01037308.1
polished-15-21681.fasta	90.196	51	5	0	2.82e-10	67.6	BMAO01036578.1	k__Metazoa;	p__Arthropoda;	c__Arachnida;	o__Araneae;	f__Nephilidae;	g__Trichonephila;	s__clavata	BMAO01036578.1
polished-15-21681.fasta	100.000	33	0	0	1.31e-08	62.1	JF699578.1	k__Metazoa;	p__Arthropoda;	c__Malacostraca;	o__Isopoda;	f__Sphaeromatidae;	g__Paracassidinopsis;	s__perlata	JF699578.1
polished-15-21681.fasta	96.875	32	1	0	2.19e-06	54.7	FP178483.1	k__Eukaryota;	p__Haptophyta;	c__Haptophyta;	o__Isochrysidales;	f__Noelaerhabdaceae;	g__Emiliania;	s__huxleyi	FP178483.1
#	BLASTN	2.9.0+
#	Query:	polished-15-42663.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	JX237370.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	JX237370.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	HF911524.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__typica	HF911524.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	HE997159.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997159.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	HE997158.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997158.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	GQ472928.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472928.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	GQ472926.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472926.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	GQ472924.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472924.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	AF411202.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AF411202.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	AB908161.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908161.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	AB908160.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908160.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	AB277824.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Pseudoterranova;	s__decipiens	AB277824.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	AB277823.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	AB277823.1
polished-15-42663.fasta	98.851	174	1	1	4.07e-83	309	AB277822.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AB277822.1
polished-15-42663.fasta	98.276	174	2	1	1.90e-81	303	HM067977.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Spirocercidae;	g__Streptopharagus;	s__sp.	JSL-2010	HM067977.1
polished-15-42663.fasta	98.276	174	2	1	1.90e-81	303	GU245692.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Ascarididae;	g__Krefftascaris;	s__sharpiloi	GU245692.1
polished-15-42663.fasta	98.276	174	2	1	1.90e-81	303	EF180059.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Toxocaridae;	g__Toxocara;	s__cati	EF180059.1
polished-15-42663.fasta	98.276	174	2	1	1.90e-81	303	AF115571.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__auctum	AF115571.1
polished-15-42663.fasta	98.276	174	2	1	1.90e-81	303	AB277826.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__aduncum	AB277826.1
polished-15-42663.fasta	97.701	174	3	1	8.82e-80	298	GPS_020161272.1	k__Metazoa;	p__Chordata;	c__Actinopteri;	o__Cyprinodontiformes;	f__Fundulidae;	g__Fundulus;	s__heteroclitus	GPS_020161272.1
polished-15-42663.fasta	97.701	174	3	1	8.82e-80	298	EU740575.1	k__Eukaryota;	p__Eukaryota;	c__Eukaryota;	o__Eukaryota;	f__Eukaryota;	g__uncultured;	s__eukaryote	EU740575.1
#	BLASTN	2.9.0+
#	Query:	polished-15-44812.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	JX237370.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	JX237370.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	HF911524.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__typica	HF911524.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	HE997159.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997159.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	HE997158.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997158.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	GQ472928.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472928.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	GQ472926.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472926.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	GQ472924.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472924.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	AF411202.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AF411202.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	AB908161.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908161.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	AB908160.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908160.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	AB277824.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Pseudoterranova;	s__decipiens	AB277824.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	AB277823.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	AB277823.1
polished-15-44812.fasta	98.851	174	1	1	4.07e-83	309	AB277822.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AB277822.1
polished-15-44812.fasta	98.276	174	2	1	1.90e-81	303	HM067977.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Spirocercidae;	g__Streptopharagus;	s__sp.	JSL-2010	HM067977.1
polished-15-44812.fasta	98.276	174	2	1	1.90e-81	303	GU245692.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Ascarididae;	g__Krefftascaris;	s__sharpiloi	GU245692.1
polished-15-44812.fasta	98.276	174	2	1	1.90e-81	303	EF180059.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Toxocaridae;	g__Toxocara;	s__cati	EF180059.1
