n_sequences,	cluster_id,	query_id,	%_identity,	alignment_length,	mismatches,	gap_opens,	evalue,	bit_score,	subject_titles
#	BLASTN	2.9.0+
#	Query:	consensus_medaka-10-10888.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-10-10888.fasta	99.338	151	1	0	1.57e-72	274	JQ609338.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	JQ609338.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	JX272636.1	k__Eukaryota;	p__Eukaryota;	c__Developea;	o__Developea;	f__Developea;	g__cf.;	s__Developayella	sp.	JDC-2012	JX272636.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	JN397366.1	k__Eukaryota;	p__Eukaryota;	c__Synurophyceae;	o__Ochromonadales;	f__Ochromonadales;	g__uncultured;	s__ochromonad	JN397366.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	JF489995.1	k__Eukaryota;	p__Eukaryota;	c__Eustigmatophyceae;	o__Eustigmatales;	f__Monodopsidaceae;	g__Microchloropsis;	s__salina	JF489995.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	JF489991.1	k__Eukaryota;	p__Eukaryota;	c__Eustigmatophyceae;	o__Eustigmatales;	f__Monodopsidaceae;	g__Nannochloropsis;	s__sp.	MA-2012	JF489991.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	JF489959.1	k__Eukaryota;	p__Bacillariophyta;	c__Coscinodiscophyceae;	o__Thalassiosirales;	f__Skeletonemataceae;	g__Skeletonema;	s__costatum	JF489959.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	HM805020.1	k__Eukaryota;	p__Bacillariophyta;	c__Bacillariophyceae;	o__Bacillariales;	f__Bacillariaceae;	g__Bacillaria;	s__cf.	paxillifer	BA14c	HM805020.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	HM805019.1	k__Eukaryota;	p__Bacillariophyta;	c__Bacillariophyceae;	o__Thalassiophysales;	f__Catenulaceae;	g__Amphora;	s__coffeiformis	HM805019.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	HM369699.1	k__Eukaryota;	p__Eukaryota;	c__Eukaryota;	o__Eukaryota;	f__Eukaryota;	g__uncultured;	s__eukaryote	HM369699.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	HM369689.1	k__Eukaryota;	p__Eukaryota;	c__Eukaryota;	o__Eukaryota;	f__Eukaryota;	g__uncultured;	s__eukaryote	HM369689.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	HM369687.1	k__Eukaryota;	p__Eukaryota;	c__Eukaryota;	o__Eukaryota;	f__Eukaryota;	g__uncultured;	s__eukaryote	HM369687.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	GU373961.1	k__Eukaryota;	p__Bacillariophyta;	c__Bacillariophyceae;	o__Bacillariales;	f__Bacillariaceae;	g__Pseudo-nitzschia;	s__australis	GU373961.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	GU067831.1	k__Eukaryota;	p__Eukaryota;	c__Synurophyceae;	o__Synurales;	f__Synurales;	g__uncultured;	s__Synurales	GU067831.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	GQ452862.1	k__Eukaryota;	p__Bacillariophyta;	c__Bacillariophyceae;	o__Naviculales;	f__Phaeodactylaceae;	g__Phaeodactylum;	s__tricornutum	GQ452862.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	GQ452861.1	k__Eukaryota;	p__Bacillariophyta;	c__Bacillariophyceae;	o__Naviculales;	f__Phaeodactylaceae;	g__Phaeodactylum;	s__tricornutum	GQ452861.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	GQ452855.1	k__Eukaryota;	p__Bacillariophyta;	c__Bacillariophyceae;	o__Naviculales;	f__Phaeodactylaceae;	g__Phaeodactylum;	s__tricornutum	GQ452855.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	GQ223285.1	k__Eukaryota;	p__Eukaryota;	c__Bigyra;	o__Opalinata;	f__Blastocystidae;	g__Blastocystis;	s__uncultured	Blastocystis	sp.	GQ223285.1
consensus_medaka-31-7936.fasta	100.000	48	0	0	6.21e-17	89.8	GQ223284.1	k__Eukaryota;	p__Eukaryota;	c__Bigyra;	o__Bicosoecida;	f__Bicosoecida;	g__Rictus;	s__lutensis	GQ223284.1
#	BLASTN	2.9.0+
#	Query:	consensus_medaka-311-122.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	JX237370.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	JX237370.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	HF911524.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__typica	HF911524.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	HE997159.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997159.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	HE997158.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997158.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	GQ472928.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472928.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	GQ472926.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472926.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	GQ472924.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472924.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	AF411202.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AF411202.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	AB908161.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908161.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	AB908160.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908160.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	AB277824.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Pseudoterranova;	s__decipiens	AB277824.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	AB277823.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	AB277823.1
consensus_medaka-311-122.fasta	98.844	173	1	1	1.45e-82	307	AB277822.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AB277822.1
consensus_medaka-311-122.fasta	98.266	173	2	1	6.72e-81	302	HM067977.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Spirocercidae;	g__Streptopharagus;	s__sp.	JSL-2010	HM067977.1
consensus_medaka-311-122.fasta	98.266	173	2	1	6.72e-81	302	GU245692.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Ascarididae;	g__Krefftascaris;	s__sharpiloi	GU245692.1
consensus_medaka-311-122.fasta	98.266	173	2	1	6.72e-81	302	EF180059.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Toxocaridae;	g__Toxocara;	s__cati	EF180059.1
consensus_medaka-311-122.fasta	98.266	173	2	1	6.72e-81	302	AF115571.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__auctum	AF115571.1
consensus_medaka-311-122.fasta	98.266	173	2	1	6.72e-81	302	AB277826.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__aduncum	AB277826.1
consensus_medaka-311-122.fasta	97.688	173	3	1	3.13e-79	296	GPS_020161272.1	k__Metazoa;	p__Chordata;	c__Actinopteri;	o__Cyprinodontiformes;	f__Fundulidae;	g__Fundulus;	s__heteroclitus	GPS_020161272.1
consensus_medaka-311-122.fasta	97.688	173	3	1	3.13e-79	296	EU740575.1	k__Eukaryota;	p__Eukaryota;	c__Eukaryota;	o__Eukaryota;	f__Eukaryota;	g__uncultured;	s__eukaryote	EU740575.1
#	BLASTN	2.9.0+
#	Query:	consensus_medaka-32-49102.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	JX237370.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	JX237370.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	HF911524.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__typica	HF911524.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	HE997159.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997159.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	HE997158.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997158.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	GQ472928.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472928.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	GQ472926.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472926.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	GQ472924.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472924.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	AF411202.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AF411202.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	AB908161.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908161.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	AB908160.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908160.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	AB277824.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Pseudoterranova;	s__decipiens	AB277824.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	AB277823.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	AB277823.1
consensus_medaka-32-49102.fasta	98.844	173	1	1	1.45e-82	307	AB277822.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AB277822.1
consensus_medaka-32-49102.fasta	98.266	173	2	1	6.72e-81	302	HM067977.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Spirocercidae;	g__Streptopharagus;	s__sp.	JSL-2010	HM067977.1
consensus_medaka-32-49102.fasta	98.266	173	2	1	6.72e-81	302	GU245692.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Ascarididae;	g__Krefftascaris;	s__sharpiloi	GU245692.1
consensus_medaka-32-49102.fasta	98.266	173	2	1	6.72e-81	302	EF180059.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Toxocaridae;	g__Toxocara;	s__cati	EF180059.1
consensus_medaka-32-49102.fasta	98.266	173	2	1	6.72e-81	302	AF115571.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__auctum	AF115571.1
consensus_medaka-32-49102.fasta	98.266	173	2	1	6.72e-81	302	AB277826.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__aduncum	AB277826.1
consensus_medaka-32-49102.fasta	97.688	173	3	1	3.13e-79	296	GPS_020161272.1	k__Metazoa;	p__Chordata;	c__Actinopteri;	o__Cyprinodontiformes;	f__Fundulidae;	g__Fundulus;	s__heteroclitus	GPS_020161272.1
consensus_medaka-32-49102.fasta	97.688	173	3	1	3.13e-79	296	EU740575.1	k__Eukaryota;	p__Eukaryota;	c__Eukaryota;	o__Eukaryota;	f__Eukaryota;	g__uncultured;	s__eukaryote	EU740575.1
#	BLASTN	2.9.0+
#	Query:	consensus_medaka-33-22158.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-33-22158.fasta	98.343	181	1	1	2.53e-85	316	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
consensus_medaka-33-22158.fasta	97.790	181	2	1	1.18e-83	311	AB374225.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB374225.1
consensus_medaka-33-22158.fasta	97.790	181	2	1	1.18e-83	311	AB302388.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB302388.1
consensus_medaka-33-22158.fasta	97.790	181	2	1	1.18e-83	311	AB302387.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	AB302387.1
consensus_medaka-33-22158.fasta	97.727	176	2	1	7.09e-81	302	HQ228991.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__sp.	JL-2010	HQ228991.1
consensus_medaka-33-22158.fasta	98.824	170	0	1	7.09e-81	302	AB353272.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diplogonoporus;	s__grandis	AB353272.1
consensus_medaka-33-22158.fasta	97.159	176	3	1	3.30e-79	296	DQ925312.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Ligula;	s__colymbi	DQ925312.1
consensus_medaka-33-22158.fasta	97.159	176	3	1	3.30e-79	296	DQ925309.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	DQ925309.1
consensus_medaka-33-22158.fasta	97.159	176	3	1	3.30e-79	296	DQ925308.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Digramma;	s__interrupta	DQ925308.1
consensus_medaka-33-22158.fasta	96.023	176	5	1	7.14e-76	285	DQ925310.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Adenocephalus;	s__pacificus	DQ925310.2
consensus_medaka-33-22158.fasta	98.125	160	1	1	1.20e-73	278	AF124460.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Schistocephalus;	s__solidus	AF124460.1
consensus_medaka-33-22158.fasta	98.718	156	0	1	4.30e-73	276	AF124459.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	AF124459.1
consensus_medaka-33-22158.fasta	98.026	152	1	1	3.35e-69	263	AB512013.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB512013.1
consensus_medaka-33-22158.fasta	98.582	141	0	1	9.37e-65	248	DQ768163.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__stemmacephalum	DQ768163.1
consensus_medaka-33-22158.fasta	91.160	181	14	1	9.37e-65	248	AJ287576.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Trypanorhyncha;	f__Sphyriocephalidae;	g__Sphyriocephalus;	s__sp.	DTJL-2000	AJ287576.1
consensus_medaka-33-22158.fasta	91.160	181	12	3	4.36e-63	243	EU660530.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660530.1
consensus_medaka-33-22158.fasta	91.160	181	12	3	4.36e-63	243	EU660529.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660529.1
consensus_medaka-33-22158.fasta	97.872	141	1	1	4.36e-63	243	DQ768160.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	DQ768160.1
consensus_medaka-33-22158.fasta	97.872	141	1	1	4.36e-63	243	DQ181945.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__dendriticus	DQ181945.2
consensus_medaka-33-22158.fasta	97.872	141	1	1	4.36e-63	243	DQ181944.2	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Diphyllobothrium;	s__ditremum	DQ181944.2
#	BLASTN	2.9.0+
#	Query:	consensus_medaka-33-45127.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	JX237370.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	JX237370.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	HF911524.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__typica	HF911524.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	HE997159.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997159.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	HE997158.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997158.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	GQ472928.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472928.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	GQ472926.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472926.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	GQ472924.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472924.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	AF411202.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AF411202.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	AB908161.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908161.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	AB908160.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908160.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	AB277824.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Pseudoterranova;	s__decipiens	AB277824.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	AB277823.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	AB277823.1
consensus_medaka-33-45127.fasta	98.844	173	2	0	4.05e-83	309	AB277822.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AB277822.1
consensus_medaka-33-45127.fasta	98.266	173	3	0	1.88e-81	303	HM067977.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Spirocercidae;	g__Streptopharagus;	s__sp.	JSL-2010	HM067977.1
consensus_medaka-33-45127.fasta	98.266	173	3	0	1.88e-81	303	GU245692.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Ascarididae;	g__Krefftascaris;	s__sharpiloi	GU245692.1
consensus_medaka-33-45127.fasta	98.266	173	3	0	1.88e-81	303	EF180059.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Toxocaridae;	g__Toxocara;	s__cati	EF180059.1
consensus_medaka-33-45127.fasta	98.266	173	3	0	1.88e-81	303	AF115571.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__auctum	AF115571.1
consensus_medaka-33-45127.fasta	98.266	173	3	0	1.88e-81	303	AB277826.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Raphidascarididae;	g__Hysterothylacium;	s__aduncum	AB277826.1
consensus_medaka-33-45127.fasta	97.688	173	4	0	8.76e-80	298	GPS_020161272.1	k__Metazoa;	p__Chordata;	c__Actinopteri;	o__Cyprinodontiformes;	f__Fundulidae;	g__Fundulus;	s__heteroclitus	GPS_020161272.1
consensus_medaka-33-45127.fasta	97.688	173	4	0	8.76e-80	298	EU740575.1	k__Eukaryota;	p__Eukaryota;	c__Eukaryota;	o__Eukaryota;	f__Eukaryota;	g__uncultured;	s__eukaryote	EU740575.1
#	BLASTN	2.9.0+
#	Query:	consensus_medaka-333-167.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-333-167.fasta	99.419	172	1	0	3.13e-84	313	JX237370.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	JX237370.1
consensus_medaka-333-167.fasta	99.419	172	1	0	3.13e-84	313	HF911524.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__typica	HF911524.1
consensus_medaka-333-167.fasta	99.419	172	1	0	3.13e-84	313	HE997159.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997159.1
consensus_medaka-333-167.fasta	99.419	172	1	0	3.13e-84	313	HE997158.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__pegreffii	HE997158.1
consensus_medaka-333-167.fasta	99.419	172	1	0	3.13e-84	313	GQ472928.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472928.1
consensus_medaka-333-167.fasta	99.419	172	1	0	3.13e-84	313	GQ472926.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472926.1
consensus_medaka-333-167.fasta	99.419	172	1	0	3.13e-84	313	GQ472924.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	GQ472924.1
consensus_medaka-333-167.fasta	99.419	172	1	0	3.13e-84	313	AF411202.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Anisakidae;	g__Anisakis;	s__simplex	AF411202.1
consensus_medaka-333-167.fasta	99.419	172	1	0	3.13e-84	313	AB908161.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908161.1
consensus_medaka-333-167.fasta	99.419	172	1	0	3.13e-84	313	AB908160.1	k__Metazoa;	p__Nematoda;	c__Chromadorea;	o__Rhabditida;	f__Cosmocercidae;	g__Cosmocercoides;	s__tonkinensis	AB908160.1
